CODIGO_REGION|NOMBRE_REGION
0600100013B|CIRCUITO 13"B"
01012000130|CIRCUITO 130
04009000130|CIRCUITO 130
03015000130|CIRCUITO 130
05021000130|CIRCUITO 130
23011000130|CIRCUITO 130
06024000130|CIRCUITO 130
0502100130A|CIRCUITO 130A
01012000131|CIRCUITO 131
05021000131|CIRCUITO 131
04009000131|CIRCUITO 131
06024000131|CIRCUITO 131
23011000131|CIRCUITO 131
02013000131|CIRCUITO 131
03015000131|CIRCUITO 131
0201300131A|CIRCUITO 131A
0400900131A|CIRCUITO 131A
23011000132|CIRCUITO 132
06024000132|CIRCUITO 132
01012000132|CIRCUITO 132
02013000132|CIRCUITO 132
04009000132|CIRCUITO 132
05022000132|CIRCUITO 132
03015000132|CIRCUITO 132
0602400132A|CIRCUITO 132A
02013000133|CIRCUITO 133
06024000133|CIRCUITO 133
04009000133|CIRCUITO 133
01012000133|CIRCUITO 133
05022000133|CIRCUITO 133
23011000133|CIRCUITO 133
03015000133|CIRCUITO 133
03015000134|CIRCUITO 134
04009000134|CIRCUITO 134
01013000134|CIRCUITO 134
23011000134|CIRCUITO 134
05022000134|CIRCUITO 134
0602500134A|CIRCUITO 134"A"
0602500134B|CIRCUITO 134"B"
0602500134C|CIRCUITO 134"C"
0602500134D|CIRCUITO 134"D"
01013000135|CIRCUITO 135
03015000135|CIRCUITO 135
04009000135|CIRCUITO 135
23011000135|CIRCUITO 135
05022000135|CIRCUITO 135
0602500135A|CIRCUITO 135"A"
0602500135B|CIRCUITO 135"B"
0602500135C|CIRCUITO 135"C"
03015000136|CIRCUITO 136
01013000136|CIRCUITO 136
05023000136|CIRCUITO 136
23011000136|CIRCUITO 136
04009000136|CIRCUITO 136
02014000136|CIRCUITO 136
06025000136|CIRCUITO 136
04009000137|CIRCUITO 137
02014000137|CIRCUITO 137
05023000137|CIRCUITO 137
06025000137|CIRCUITO 137
03015000137|CIRCUITO 137
01013000137|CIRCUITO 137
23011000137|CIRCUITO 137
2301100137A|CIRCUITO 137A
05023000138|CIRCUITO 138
03015000138|CIRCUITO 138
02014000138|CIRCUITO 138
01013000138|CIRCUITO 138
04010000138|CIRCUITO 138
23011000138|CIRCUITO 138
0602500138A|CIRCUITO 138"A"
0602500138B|CIRCUITO 138"B"
0401000138A|CIRCUITO 138A
0401000138B|CIRCUITO 138B
0401000138C|CIRCUITO 138C
0401000138D|CIRCUITO 138D
06025000139|CIRCUITO 139
01013000139|CIRCUITO 139
02014000139|CIRCUITO 139
03015000139|CIRCUITO 139
23011000139|CIRCUITO 139
05023000139|CIRCUITO 139
04010000139|CIRCUITO 139
0401000139A|CIRCUITO 139A
0401000139B|CIRCUITO 139B
0500200013A|CIRCUITO 13A
0400100013A|CIRCUITO 13A
2300100013A|CIRCUITO 13A
0400100013B|CIRCUITO 13B
0400100013C|CIRCUITO 13C
0400100013D|CIRCUITO 13D
0400100013E|CIRCUITO 13E
0400100013F|CIRCUITO 13F
0400100013G|CIRCUITO 13G
0400100013H|CIRCUITO 13H
0400100013I|CIRCUITO 13I
0400100013J|CIRCUITO 13J
0400100013K|CIRCUITO 13K
0400100013L|CIRCUITO 13L
0400100013M|CIRCUITO 13M
0400100013N|CIRCUITO 13N
0400100013O|CIRCUITO 13O
09001000014|CIRCUITO 14
05002000014|CIRCUITO 14
04001000014|CIRCUITO 14
23001000014|CIRCUITO 14
06001000014|CIRCUITO 14
03002000014|CIRCUITO 14
01001000014|CIRCUITO 14
07001000014|CIRCUITO 14
24002000014|CIRCUITO 14
02002000014|CIRCUITO 14
03015000140|CIRCUITO 140
02014000140|CIRCUITO 140
